Method,Categories,Count,Mean,Allocated
StartsWith,Collections,8192,56.063,80 B
StructuralSequenceEqual,Collections,64,7.974,0 B
StructuralSequenceEqual,Collections,128,7.456,0 B
StructuralSequenceEqual,Collections,256,7.474,0 B
StructuralSequenceEqual,Collections,512,7.455,0 B
StructuralSequenceEqual,Collections,1024,7.458,0 B
StructuralSequenceEqual,Collections,2048,7.407,0 B
StructuralSequenceEqual,Collections,4096,7.451,0 B
StructuralSequenceEqual,Collections,8192,7.46,0 B
Upsert,Collections,64,885.323,1616 B
Upsert,Collections,128,"1,681.87",3152 B
Upsert,Collections,256,"3,455.60",6224 B
Upsert,Collections,512,"7,059.42",12368 B
Upsert,Collections,1024,"17,332.86",0 B
Upsert,Collections,2048,"34,450.10",49232 B
Upsert,Collections,4096,"70,254.13",98384 B
Upsert,Collections,8192,"186,143.00",196695 B
